epoch,accuracy,l2_norm,loss,val_accuracy,val_l2_norm,val_loss
0,9.394581138622016e-05,0.031313516199588776,0.000551931036170572,9.368462633574381e-05,0.021827667951583862,0.0001389837561873719
1,9.446522744838148e-05,0.018634570762515068,0.00010888084943871945,9.377714013680816e-05,0.01804148405790329,9.569981921231374e-05
2,9.461131412535906e-05,0.014740095473825932,6.662694067927077e-05,9.392099309479818e-05,0.01747717149555683,8.948626782512292e-05
3,9.466728079132736e-05,0.013046633452177048,5.2496627176878974e-05,9.393114305566996e-05,0.013382263481616974,5.337801485438831e-05
4,9.469375800108537e-05,0.012438272126019001,4.943262683809735e-05,9.395502274855971e-05,0.013252466917037964,5.215711280470714e-05
5,9.471990779275075e-05,0.011585178785026073,4.121162055525929e-05,9.396935638505965e-05,0.012381310574710369,4.574849663185887e-05
6,9.471495286561549e-05,0.012521371245384216,7.15026690158993e-05,9.281486563850194e-05,0.06237521395087242,0.0011279978789389133
7,9.465691982768476e-05,0.012885508127510548,5.270125620882027e-05,9.396578388987109e-05,0.01215472724288702,4.4227057514945045e-05
8,9.470601071370766e-05,0.011039720848202705,3.759799074032344e-05,9.39621968427673e-05,0.011491477489471436,3.9584137994097546e-05
9,9.473005047766492e-05,0.010403333231806755,3.314586138003506e-05,9.395804954692721e-05,0.011827235110104084,4.166555299889296e-05
10,9.473600221099332e-05,0.010063224472105503,3.097858643741347e-05,9.397774556418881e-05,0.010331639088690281,3.231966547900811e-05
11,9.474671969655901e-05,0.009778444655239582,2.9236962291179225e-05,9.396519453730434e-05,0.013384099118411541,5.2993356803199276e-05
12,9.475326805841178e-05,0.009552828036248684,2.8077136448700912e-05,9.397832036484033e-05,0.011560441926121712,3.985863440902904e-05
13,9.475852129980922e-05,0.009392955340445042,2.695485090953298e-05,9.397474059369415e-05,0.010123196057975292,3.0956500268075615e-05
14,9.476018021814525e-05,0.009185707196593285,2.5923143766704015e-05,9.398905967827886e-05,0.01122830156236887,3.766617373912595e-05
15,9.476581180933863e-05,0.009106285870075226,2.555313221819233e-05,9.398190013598651e-05,0.01112817320972681,3.6871035263175145e-05
16,9.476835111854598e-05,0.00897433701902628,2.4772194592515007e-05,9.396877430845052e-05,0.011149870231747627,3.744085188372992e-05
